Canceled my online order after 2 hours of waiting. No decent response from their side. And Zomato as a compensation gave 52 credits for a 2 hour long order wait. 'Sorry is all they can say'	1	10/9/2018 21:51	à éviter d'urgence	La Friterie Belge	Hospitality and service: 4	2019-08-12	Waterzooi de poulet;Filet américain	30.23	18	19	Rose Diaz	Avis mensonger
I had ordered the Cheesy Chicken Bhuna Wrap and the Jumbo Chicken Wrap from here. This was by invitation only and was for tasting. The Cheesy Wrap was great and was filled with cheese in every bite. The Chicken Jumbo Wrap actually had loads of chicken with my favorite variety being the chicken meatball. This is definitely a must try and is also a part of their Signature Wraps.	4	10/4/2018 8:23	recommandé	Le Panda Gourmand	Hospitality and service: 5	2018-12-12	Biryani;Hainanese Chicken Rice;Nasi Goreng;Hainanese Chicken Rice	84.21	16	19	Charlotte Ortega	Avis offensant
The one I ordered (Chicken wrap) would have been 5 star but the amount of salt you added was unbearable. Do something about it and also the rice dish was fine	3	10/4/2018 6:19	déconseillé	Osteria Italia	Hospitality and service: 4	2019-01-22	Cannelloni alla Fiorentina;Ossobuco alla Milanese;Pizza Margherita	31.28	16	18	Élise Petit	Avis mensonger
Ordered Jumbo Paneer Tikka Rice Fest. First of all it was nowhere near to being jumbo. Simply a small box and they call it ‘Jumbo’. Probably they have studied English from some remote island. Secondly the rice was so damn spicy that I am facing issues in my stomach after having them. This was my first and last order from Fassos. Will never ever order again from here.	1	9/30/2018 15:01	à éviter d'urgence	Le Jardin des Délices	Hospitality and service: 2	2019-02-21	Miso Soup;Miso Soup	53.78	19	21	Margot Carvalho	Avis offensant
I ordered 2 aloo parathas from Faasos and it was so bad that I had to throw both the boxes away. The parathas were very oily and they smelt sour as if it was spoilt. The taste too was horrible.	1	9/26/2018 17:17	à éviter d'urgence	Le Dragon Rouge	Hospitality and service: 1	2018-12-27	Kimchi	13.31	18	20	Sarah Durand	Avis offensant
One of the best rice combo available with faasosMust tryTaste 5/5Packing 5/5Comes with one gulabjamun complimentary andTeekha seasoning.	4	9/17/2018 19:58	recommandé	La Crêperie Parisienne	Hospitality and service: 5	2019-08-26	Pain bagnat	10.13	10	12	Rayan Francois	Avis mensonger
How can I say anything good. None of my instructions given were followed. And when tried to contact they don’t reply. Zomato really needs to work with this restaurant and make sure that special instructions are followed	1	9/10/2018 15:08	à éviter d'urgence	Chez Pierre	Delivery: 2	2019-05-08	Salade Lyonnaise;Gratin Dauphinois;Choucroute garnie	43.73	19	20	Pauline Ferreira	Avis offensant
Very bad chicken roll!	1	9/3/2018 22:12	à éviter d'urgence	Le Palais des Saveurs	Hospitality and service: 3	2019-07-22	Nasi Goreng;Nasi Goreng;Miso Soup	60	12	15	Lucie Figueira	Avis mensonger
Very very disappointed.Food taste was not up to the mark.It was worst in fact.Very bad experience Fasoos.Should improve quality of food.	1	9/2/2018 22:28	à éviter d'urgence	Brasserie de la Gare	Delivery: 2	2018-10-07	Bouef à la mode;Laksa;Bouef à la mode;Laksa	67.16	18	21	Thibault Rodriguez	Avis mensonger
Ordered two wraps for dinner. They filled my appetites quite well. I really would appreciate the way packing was done, and if your tongue prefers spicy meals, you also get an option of spicy masala.Jumbo Veg Wrap - 4.5/5 was quite delectable, it included paneer, onion, potatoes mashed masala, mayonnaise.Cheese melt paneer wrap - 3/5 had too much of cheese, although sprinkled with the spicy masala it tasted fine, but in comparison to the one above I expected something of equivalent taste to my tongue.EditOrdered Navratra Royal Meal -5/5 yesterday , the quality of food was extremely delicious, packaging of fasoos has always been appreciable. The meal was suffice for two people. I look forward to ordering more and more from fasoos, I'm extremely glad with their service.	4	8/29/2018 21:37	recommandé	Le Moulin à Frites	Hospitality and service: 4	2018-11-25	Tarte au riz	26.13	9	11	Lison Li	Avis mensonger
Is BOGO offer applied to sell out substandard items in the menu? The food was too salty.	1	8/20/2018 7:10	à éviter d'urgence	L'Auberge Provençale	Hospitality and service: 2	2019-04-06	Tournedos Rossini;Tournedos Rossini;Steak frites	39.75	11	13	Louis Laurent	Avis offensant
I hace tried faasos a multiple times. I got two wraps through a food review programme. The cheesy melt paneer wrap wasn't cheesy at all. The jumbo chicken wrap was good quantity wise but was very spicy.	3	8/19/2018 22:01	déconseillé	Le Café Mexicain	Hospitality and service: 2	2019-08-05	Cochinita Pibil	12.71	19	20	Kylian Rodrigues	Avis offensant
